atmosphere	氣氛	原子	原子的	附上
atom	原子	原子的	附上	吸引力
atomic	原子的	附上	吸引力	聽覺的,聲音的
attach	附上	吸引力	聽覺的,聲音的	職權;官方
attraction	吸引力	聽覺的,聲音的	職權;官方	自傳
audio	聽覺的,聲音的	職權;官方	自傳	等候
authority	職權;官方	自傳	等候	笨拙的;尷尬的
autobiography	自傳	等候	笨拙的;尷尬的	背包
await	等候	笨拙的;尷尬的	背包	禿頭的
awkward	笨拙的;尷尬的	背包	禿頭的	芭蕾舞
backpack	背包	禿頭的	芭蕾舞	破產的;已完全失敗的
bald	禿頭的	芭蕾舞	破產的;已完全失敗的	討價還價
ballet	芭蕾舞	破產的;已完全失敗的	討價還價	障礙物;路障
bankrupt	破產的;已完全失敗的	討價還價	障礙物;路障	臉盆
bargain	討價還價	障礙物;路障	臉盆	電池
barrier	障礙物;路障	臉盆	電池	鳥嘴
basin	臉盆	電池	鳥嘴	微笑
battery	電池	鳥嘴	微笑	行為
beak	鳥嘴	微笑	行為	傳記
beam 	微笑	行為	傳記	生物學
behavior	行為	傳記	生物學	刀片
biography	傳記	生物學	刀片	使混和
biology	生物學	刀片	使混和	祝福
blade	刀片	使混和	祝福	眨眼睛;閃爍
blend	使混和	祝福	眨眼睛;閃爍	興盛
blessing	祝福	眨眼睛;閃爍	興盛	開花;發展成
blink	眨眼睛;閃爍	興盛	開花;發展成	臉紅
bloom	興盛	開花;發展成	臉紅	吹牛
blossom	開花;發展成	臉紅	吹牛	使...黏合
blush	臉紅	吹牛	使...黏合	彈起,彈回
boast	吹牛	使...黏合	彈起,彈回	手鐲
bond	使...黏合	彈起,彈回	手鐲	胸罩
bounce	彈起,彈回	手鐲	胸罩	使繁殖,飼養
bracelet	手鐲	胸罩	使繁殖,飼養	新郎
brassiere/bra	胸罩	使繁殖,飼養	新郎	烤;炙
breed	使繁殖,飼養	新郎	烤;炙	一文不名的;破了產的
bridegroom/groom	新郎	烤;炙	一文不名的;破了產的	野蠻的;粗暴的
broil	烤;炙	一文不名的;破了產的	野蠻的;粗暴的	公報;公告
broke	一文不名的;破了產的	野蠻的;粗暴的	公報;公告	櫃子
brutal	野蠻的;粗暴的	公報;公告	櫃子	計算
