逆さ (さかさ)	inverted	rest	masterpiece	monthly salary
休養 (きゅうよう)	rest	masterpiece	monthly salary	modest
傑作 (けっさく)	masterpiece	monthly salary	modest	effect
月給 (げっきゅう)	monthly salary	modest	effect	excuse
謙虚 (けんきょ)	modest	effect	excuse	filial piety
効力 (こうりょく)	effect	excuse	filial piety	marking
口実 (こうじつ)	excuse	filial piety	marking	triangle
孝行 (こうこう)	filial piety	marking	triangle	care
採点 (さいてん)	marking	triangle	care	going in and out
三角 (さんかく)	triangle	care	going in and out	pocket money
手入れ (ていれ)	care	going in and out	pocket money	lips
出入り (でいり)	going in and out	pocket money	lips	to aim at 
小遣い (こづかい)	pocket money	lips	to aim at 	funeral
唇 (くちびる)	lips	to aim at 	funeral	title
狙う (ねらう)	to aim at 	funeral	title	excess
葬式 (そうしき)	funeral	title	excess	passage
題名 (だいめい)	title	excess	passage	theft
超過 (ちょうか)	excess	passage	theft	mountain pass
通路 (つうろ)	passage	theft	mountain pass	radius
盗難 (とうなん)	theft	mountain pass	radius	distribution
