[肆無]忌憚	形容人恣意妄為，毫無顧忌。
[手不]釋卷	形容人勤奮好學。
[春風]得意	指考中後稱心如意的感受。＆形容人因事情如願以償而心情愉悅滿足。
[不足]掛齒	指人或事物輕微，不值得一提。
[不識]時務	比喻不知利用時運以求通達。＆形容不了解眼前狀況的愚魯態度。
[石破]天驚	形容樂器彈奏出來的聲音高亢激越。＆用來形容事物或言論新奇驚人。
[覆水]難收	比喻離異的夫妻很難再復合。 ＆比喻既定的事實很難再改變。
[難兄]難弟	形容兄弟二人才德相當，難分高下。（難，音ㄋㄢˊ）＆諷刺兩人同樣差勁，表現差不多。（難，音ㄋㄢˊ）＆形容同處困境、共同患難的朋友。（難，音ㄋㄢˋ）
[海闊]天空	形容天地遼闊而無邊際。＆比喻心胸開闊、心情開朗＆形容無拘無束，漫無邊際的樣子。
[偷天]換日	比喻騙局之大與技巧之妙。
[七上]八下	形容心情起伏不定、忐忑不安。
[孤芳]自賞	比喻自命清高，自我欣賞。
[束手]無策	比喻面對問題時，毫無解決的辦法。
[心心]相印	比喻彼此心意互通。
[空穴]來風	比喻事出有因，流言乘隙而入。＆比喻憑空捏造不實的傳言。
[步步]為營	比喻行動謹慎，防備周全。
[坐以]待斃	比喻面臨危難，不採取積極的應變措施，只坐等敗亡。
[一舉]兩得	比喻做一件事，同時有兩方面的收穫。
[心照]不宣	彼此心裡明白，不必言語說明。
[一介]不取	形容人的操守非常清廉。
