[蜀犬]吠日	形容人少見多怪。
[曲突]徙薪	比喻事先採取措施，以防止危險發生。
[矯枉]過正	糾正偏差超過適切程度，反而不符合中庸之道。
[吳牛]喘月	比喻人見到曾受其害的類似事物而過分驚懼害怕。＆形容天氣酷熱。
[居安]思危	處於安樂的時候，要想到危險可能隨時出現。
[賓至]如歸	形容主人招待周到親切，使客人感到滿意。
[不恥]下問	不以向身分較低微或是學問較自己淺陋的人求教為羞恥。褒義。
[不可]救藥	病重無藥可醫治。＆比喻到了無法挽救的地步。
[河東]獅吼	比喻妻子凶悍發威。
[開門]見山	一開門就見到山巒。＆比喻說話或寫文章直截了當，一開始就進入正題。
[手舞]足蹈	揮手舉足，舞動跳躍。＆形容高興到了極點。
[土崩]瓦解	形容土石崩塌、磚瓦破碎的情景。＆比喻澈底潰敗，不可收拾。
[愛屋]及烏	比喻愛一個人也連帶地關愛與他有關的一切。
[不脛]而走	比喻事物不用推廣，也能迅速傳播。
[大義]滅親	比喻為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。褒義。
[東施]效顰	比喻盲目胡亂地模仿他人，結果卻適得其反。貶義。
[從善]如流	比喻樂於接受別人好的意見。
[越俎]代庖	比喻踰越職分代人辦事。
[水滴]石穿	滴水久了可使石穿。＆比喻持之以恆，事必有成。
[袖手]旁觀	形容置身事外，不予過問。
