割雞[焉用牛刀]	比喻處理小事，毋需大才。
低聲[下氣]	形容說話恭順小心的樣子。
楚材[晉用]	比喻人才外流。
引狼[入室]	比喻自招其禍。
解衣[推食]	將衣食贈送他人，以示關懷之意。
兵不[厭詐]	本指作戰時不排斥以欺詐的方法來取勝。後亦比喻做事為了達到目的，不排斥使用詭詐的手段。
漸入[佳境]	比喻境況逐漸進展至美好的境界或興味漸濃。
老成[持重]	形容人成熟老練，處事沉著穩重。
一事[無成]	一件事也沒做成。＆指事業毫無成就。
百步[穿楊]	形容射箭技術高超。＆形容射擊技藝高強。
金屋[藏嬌]	比喻男子納妾或有外遇之事。
任重[道遠]	比喻長期肩負重大的任務。
一蹶[不振]	比喻一遭受挫敗，就再也不能振作起來。
近悅[遠來]	形容政治清明，德澤風行。＆形容在商場上遠近馳名而顧客眾多。
因地[制宜]	根據不同環境的實際情況制定相應的妥善辦法。
冷眼[旁觀]	形容用冷靜的眼光在旁觀察。＆形容漠不關心。
千載[一時]	形容機會十分難得，稍縱即逝。
七零[八落]	形容零散的樣子。＆形容支離破碎，殘敗不完整。＆形容數量稀少。
千鈞[一髮]	比喻非常危險。
光明[磊落]	形容心地無私，胸懷坦蕩。
