단속	管制	單位	缺點	團地
단순히	簡單地	不同	當然	非常
단위	單位	缺點	團地	組織
단점	缺點	團地	組織	月光
단정하다	端正的	甜的	清淡	自信的
단지	團地	組織	月光	達成
단체	組織	月光	達成	牆
닫히다	關閉	解開	改變	哄
달다	解開	改變	哄	跑去
달라지다	改變	哄	跑去	趕上
달래다	哄	跑去	趕上	而來
달러	美元	日元	韓元	台幣
달려가다	跑去	趕上	而來	繫好
달려들다	趕上	而來	繫好	逃跑
달려오다	而來	繫好	逃跑	達到
달리	不同	當然	非常	大致上
달리다	繫好	像	扔	帶去
달빛	月光	達成	牆	다음 的略語
달성	達成	牆	다음 的略語	主管
달아나다	逃跑	達到	磨破	泡在
달콤하다	甜的	清淡	自信的	當然
달하다	達到	磨破	泡在	放在
닳다	磨破	泡在	放在	裝
담	牆	다음 的略語	主管	負責人
담	다음 的略語	다음 的略語	主管	負責人
담그다	泡在	放在	裝	拉
담기다	放在	裝	拉	遇到
담다	裝	拉	遇到	沾
담당	主管	負責人	毯子	導師
담당자	負責人	毯子	導師	回答
담백하다	清淡	自信的	當然	驚人的
담요	毯子	導師	回答	五天
담임	導師	回答	五天	胡蘿蔔
답변	回答	五天	胡蘿蔔	當時
닷새	五天	胡蘿蔔	當時	當日
당근	胡蘿蔔	當時	當日	馬上
당기다	拉	遇到	沾	趕到
당당하다	自信的	當然	驚人的	獨特的
당분간	暫時	大綱	大概	大略
당시	當時	當日	馬上	中獎
