兩袖[清風]	形容瀟灑飄逸、超脫凡俗的樣子。＆形容做官廉潔，毫無貪贓枉法之事。
明目[張膽]	比喻肆無忌憚地公然做壞事。
肝膽[相照]	比喻赤忱相處。
不求[甚解]	讀書著重理解義理，而不過度鑽研字句上的解釋。＆形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。
青黃[不接]	指新穀還沒成熟，存糧又已吃完。＆比喻有所匱乏，一時難以為繼。
民不[聊生]	形容百姓生活非常困苦。
明哲[保身]	明達事理、洞見時勢的人，不參與會帶給自己危險的事。＆為了個人得失而喪失原則的庸俗處世態度。
妄自[菲薄]	隨意看輕自己，不知自重。
自慚[形穢]	泛指與人相比自愧不如。
泥牛[入海]	比喻一去不復返。
急如[星火]	形容情勢急迫。
背道[而馳]	比喻彼此的目標或理想完全相反。
休戚[相關]	形容彼此間的關係密切，利害一致。
同舟[共濟]	比喻同心協力，戰勝困難。
披星[戴月]	形容早出晚歸、連夜趕路或工作備極勞累。
相敬[如賓]	形容夫妻間相處融洽，互相敬愛。褒義。
鶴立[雞群]	比喻人的儀表才能超群脫凡。褒義。＆比喻事物的不平凡。
重整[旗鼓]	比喻失敗後積聚力量，重新行動。
格格[不入]	比喻抵觸阻隔而不相合。
山窮[水盡]	水陸交通阻斷，無法通行。＆比喻走投無路，陷入絕境。
