諱疾[忌醫]	不承認有病，害怕去治療。 ＆比喻問題本小不予處理，終致無法收拾。 ＆比喻掩飾過失而不願聽人規勸。
敷衍[塞責]	形容做事不認真負責，只是表面應付。
亦步[亦趨]	形容事事追隨或仿傚別人。
葉公[好龍]	比喻所好似是而非，以致表裡不一，有名無實。
雕蟲[小技]	比喻微不足道的技能。
暗箭[傷人]	比喻暗中用陰險的手段中傷他人。
永垂[不朽]	永遠流傳而不可磨滅。褒義。
隨波[逐流]	順著水流而行。＆比喻人沒有確定的方向和目標，只依從環境潮流行事。
出人[頭地]	超越他人，獨露頭角。
暴跳[如雷]	形容人急怒時跳腳吼叫的樣子。
克勤[克儉]	既能勤勞又能節儉。
名副[其實]	名聲或名稱與實際相符合。
優柔[寡斷]	形容行事猶豫，不能當機立斷。貶義。
雞犬[不寧]	比喻被嚴重騷擾。
玩物[喪志]	形容沉溺於某樣事物，因而荒廢了應做的事。貶義。
沆瀣[一氣]	比喻彼此志同道合，意氣相投。褒義。＆比喻彼此臭味相投。貶義。
抱頭[鼠竄]	形容倉皇逃跑的狼狽樣子。
物以[類聚]	性質相近的東西常聚集在一起。＆比喻壞人互相勾結。
狗尾[續貂]	比喻任官太濫。＆比喻事物以壞續好，前後不相稱。
聲色[俱厲]	說話時的聲音和臉色都很嚴厲。
