千里[鵝毛]	比喻禮物雖輕但情意深重。
衣錦[還鄉]	形容人功成名就後榮歸故鄉。
言之[有物]	指言論或文章有根據、有內容。褒義。
投機[取巧]	利用時機，獲取利益。貶義。
磨杵[成針]	比喻只要有恆心，努力去做，無論多麼困難的事，都可以成功。
流言[蜚語]	泛指謠言。
溫故[知新]	複習學過的課業，而能領悟出新的道理。
狼心[狗肺]	比喻人心腸狠毒，毫無良心。貶義。
殺人[越貨]	殺人搶劫。
頑石[點頭]	比喻說理透澈，使人心服。
罪魁[禍首]	領導或策劃肇禍犯罪的首要人物。貶義。
冤家[路窄]	仇人或不願見到的人，偏在狹小的路上相遇，無法躲避。
珠圓[玉潤]	比喻文詞、歌聲、字跡的流利、圓潤、娟秀。
焦頭[爛額]	燒焦頭，灼爛額。形容救火時為火燒灼得很嚴重。＆比喻做事陷入十分狼狽窘迫的困境或犧牲慘重。
德高[望重]	形容人品德高尚，極有聲望。褒義。
銳不[可當]	形容氣勢威猛，所向無敵。
胡作[非為]	指不顧法紀或不講道理的任意妄為。貶義。
漏網[之魚]	比喻僥倖逃脫法網的人。＆比喻驚慌逃竄的人。
適可[而止]	指事情做到恰到好處就該停止。
無所[適從]	不知聽從誰才好。＆比喻不知如何是好。
