lazy	懶惰的	引導	領袖	葉子
lead 	引導	領袖	葉子	學習
leader	領袖	葉子	學習	最小的;最少的;最不重要的
leaf	葉子	學習	最小的;最少的;最不重要的	離開;丟下
learn	學習	最小的;最少的;最不重要的	離開;丟下	左邊的
least	最小的;最少的;最不重要的	離開;丟下	左邊的	腿
leave	離開;丟下	左邊的	腿	較少的
left	左邊的	腿	較少的	教訓
leg	腿	較少的	教訓	讓
less	較少的	教訓	讓	信
lesson	課程;教訓	讓	信	水平的,平的;筆直的
let	讓	信	水平的,平的;筆直的	說謊;躺
letter 	信	水平的,平的;筆直的	說謊;躺	人生;生命
level	水平的,平的;筆直的	說謊;躺	人生;生命	舉起
lie	說謊;躺	人生;生命	舉起	光
life	人生;生命	舉起	光	喜歡
lift	舉起	光	喜歡	有可能的
light 	光	喜歡	有可能的	百合花
like 	喜歡	有可能的	百合花	排隊
likely	有可能的	百合花	排隊	獅子
lily	百合花	排隊	獅子	嘴唇
line	排隊	獅子	嘴唇	列成表
lion	獅子	嘴唇	列成表	聽
lip	嘴唇	列成表	聽	很少的
list	列成表	聽	很少的	居住
listen	聽	很少的	居住	長
little	很少的	居住	長	看
live 	居住	長	看	很多,多數;一批;一塊地
long 	長	看	很多,多數;一批;一塊地	大聲的
look	看	很多,多數;一批;一塊地	大聲的	愛好,喜歡
lot 	很多,多數;一批;一塊地	大聲的	愛好,喜歡	低的
loud	大聲的	愛好,喜歡	低的	幸運的
love	愛好,喜歡	低的	幸運的	吃午餐
low	低的	幸運的	吃午餐	用機器做
lucky	幸運的	吃午餐	用機器做	發火;發瘋;發狂的
lunch/luncheon	吃午餐	用機器做	發火;發瘋;發狂的	寄信
machine	用機器做	發火;發瘋;發狂的	寄信	製造; 使得
mad	發火;發瘋;發狂的	寄信	製造; 使得	媽媽
mail	寄信	製造; 使得	媽媽	給...配置人員
make	製造; 使得	媽媽	給...配置人員	很多的
