Is it a book or a notebook?	它是一本書還是一本筆記本？	--
It's a notebook	它是一本筆記本	--
It is a book and it is my book	它是一本書，而且它是我的書	--
a desk	一張桌子	--
a table	一張茶几	--
a marker	一隻奇異筆	--
a chair	一張椅子	--
a crayon	一隻蠟筆	--
a cassette	一盒卡帶	--
violin	小提琴	--
waiter	服務員	--
box	盒子	--
yo-yo	溜溜球	--
zero	零	--
clap your hands	拍你的手	--
stamp your feet	跺你的腳	--
nod your head	點你的頭	--
shake your body	搖你的身體	--
thirty	30	--
thirty-one	31	--
thirty-two	32	--
thirty-three	33	--
thirty-four	34	--
thirty-five	35	--
thirty-six	36	--
thirty-seven	37	--
thirty-eight	38	--
thirty-nine	39	--
