必然 (ひつぜん)	inevitable	motto	to drift	to fall ill
標語 (ひょうご)	motto	to drift	to fall ill	beach
漂う (ただよう)	to drift	to fall ill	beach	poor
病む (やむ)	to fall ill	beach	poor	poverty
浜辺 (はまべ)	beach	poor	poverty	sudden
貧弱 (ひんじゃく)	poor	poverty	sudden	ominous
貧乏 (びんぼう)	poverty	sudden	ominous	irregularity
不意 (ふい)	sudden	ominous	irregularity	to add 
不吉 (ふきつ)	ominous	irregularity	to add 	to be rich in
不順 (ふじゅん)	irregularity	to add 	to be rich in	support 
付け加える (つけくわえる)	to add 	to be rich in	support 	extramarital sex
富む (とむ)	to be rich in	support 	extramarital sex	insult
扶養 (ふよう)	support 	extramarital sex	insult	to dance 
浮気 (うわき)	extramarital sex	insult	to dance 	seal
侮辱 (ぶじょく)	insult	to dance 	seal	mask
舞う (まう)	to dance 	seal	mask	boiling
封 (ふう)	seal	mask	boiling	statue of Buddha
覆面 (ふくめん)	mask	boiling	statue of Buddha	idle curiosity
沸騰 (ふっとう)	boiling	statue of Buddha	idle curiosity	unsatisfied
仏像 (ぶつぞう)	statue of Buddha	idle curiosity	unsatisfied	body
物好き (ものずき)	idle curiosity	unsatisfied	body	division of labor
物足りない (ものたりない)	unsatisfied	body	division of labor	denominator
物体 (ぶったい)	body	division of labor	denominator	indignation
分業 (ぶんぎょう)	division of labor	denominator	indignation	fine powder
分母 (ぶんぼ)	denominator	indignation	fine powder	confusing
憤慨 (ふんがい)	indignation	fine powder	confusing	to disappear into
粉末 (ふんまつ)	fine powder	confusing	to disappear into	loss
紛らわしい (まぎらわしい)	confusing	to disappear into	loss	written language
紛れる (まぎれる)	to disappear into	loss	written language	listening comprehension
紛失 (ふんしつ)	loss	written language	listening comprehension	flat
文語 (ぶんご)	written language	listening comprehension	flat	normal
聞き取り (ききとり)	listening comprehension	flat	normal	square 
平たい (ひらたい)	flat	normal	square 	and 
平常 (へいじょう)	normal	square 	and 	arranging in a line
平方 (へいほう)	square 	and 	arranging in a line	dumbfounded
並びに (ならびに)	and 	arranging in a line	dumbfounded	reply
並列 (へいれつ)	arranging in a line	dumbfounded	reply	explanation 
閉口 (へいこう)	dumbfounded	reply	explanation 	reimbursement
返答 (へんとう)	reply	explanation 	reimbursement	discussion
弁解 (べんかい)	explanation 	reimbursement	discussion	to keep
