요약	概括	因素	這些日子	要求
요인	因素	這些日子	要求	辱駡
요즈음	這些日子	要求	辱駡	慾望
요청	要求	辱駡	慾望	浴室
욕	辱駡	慾望	浴室	貪婪
욕망	慾望	浴室	貪婪	龍
욕실	浴室	貪婪	龍	要辦的事
욕심	貪婪	龍	要辦的事	勇氣
용	龍	要辦的事	勇氣	用途
용감하다	勇敢的	有趣的	優雅的	隨和的
용건	要辦的事	勇氣	用途	零用錢
용기	勇氣	用途	零用錢	饒恕
용도	用途	零用錢	饒恕	用語
용돈	零用錢	饒恕	用語	補給品
용서	饒恕	用語	補給品	憂慮
용어	用語	補給品	憂慮	水井
용품	補給品	憂慮	水井	優先
우기다	強辯	響	弄哭	逗笑
우려	憂慮	水井	優先	優秀
우물	水井	優先	優秀	優勝
우선	優先	待會	已經	早起
우수	優秀	優勝	偶然	鬱悶
우습다	有趣的	優雅的	隨和的	尚可
우승	優勝	偶然	鬱悶	友誼
우아하다	優雅的	隨和的	尚可	偉大
우연	偶然	鬱悶	友誼	宇宙
우연히	偶然地	非常	異常地	馬上
우울	鬱悶	友誼	宇宙	郵箱
우정	友誼	宇宙	郵箱	正確的
우주	宇宙	郵箱	正確的	郵件
우체통	郵箱	正確的	郵件	信箱
우측	正確的	錯誤	郵件	郵箱
우편	郵件	郵局	郵箱	右轉
우편물	郵件	郵箱	右轉	運氣
우편함	郵箱	右轉	運氣	運動量
우회전	右轉	運氣	運動量	運動員
운	運氣	運動量	運動員	命運
운동량	運動量	運動員	命運	搬運
운동선수	運動員	命運	搬運	營運
운명	命運	搬運	營運	司機
