종교적	宗教的	主觀	直接的	密集的
종아리	小腿	紙杯	合成	座位
종이컵	紙杯	合成	座位	左右
종일	一整天	一個人	好	嗯
종종	經常	一路	再	極其
종합	合成	座位	左右	左邊
좌석	座位	左右	左邊	左轉
좌우	左右	左邊	左轉	犯罪
좌측	左邊	左轉	犯罪	皺紋
좌회전	左轉	犯罪	皺紋	拳頭
죄	犯罪	皺紋	拳頭	注目
주간	每週	光圈	四	二
주고받다	交談	被給予	癱坐	殺
주관적	主觀	直接的	密集的	衝擊的
주름	皺紋	拳頭	注目	公民
주먹	拳頭	注目	公民	廚房
주목	注目	公民	廚房	股票
주민	公民	廚房	股票	主要的
주방	廚房	股票	主要的	加油站
주식	股票	主要的	加油站	警告
주어지다	被給予	癱坐	殺	減少
주요	主要的	加油站	警告	主角
주유소	加油站	警告	主角	觀點
주의	警告	主角	觀點	壺
주인공	主角	觀點	壺	話題
주장	觀點	壺	話題	停車票
주저앉다	癱坐	殺	減少	嘟嘟囔囔 ，喃喃自语
주전자	壺	話題	停車票	停車費
주제	話題	停車票	停車費	住宅
주차권	停車票	停車費	住宅	稀飯
주차료	停車費	住宅	稀飯	死亡
주택	住宅	稀飯	死亡	材料
죽	稀飯	死亡	材料	故事情節
죽음	死亡	材料	故事情節	莖
죽이다	殺	減少	嘟嘟囔囔 ，喃喃自语	握
준비물	材料	故事情節	莖	跳繩
줄거리	故事情節	莖	跳繩	條紋
줄곧	一路	再	極其	迄今為止
줄기	莖	跳繩	條紋	僧人
줄넘기	跳繩	條紋	僧人	中古
