盛ん (さかん)	popular 	senior 	parking lot	spot
先輩 (せんぱい)	senior 	parking lot	spot	heat 
駐車場 (ちゅうしゃじょう)	parking lot	spot	heat 	cartoon
点 (てん)	spot	heat 	cartoon	unreasonable
熱 (ねつ)	heat 	cartoon	unreasonable	promise
漫画 (まんが)	cartoon	unreasonable	promise	preparation
無理 (むり)	unreasonable	promise	preparation	opposite side
約束 (やくそく)	promise	preparation	opposite side	arm 
用意 (ようい)	preparation	opposite side	arm 	the end
裏 (うら)	opposite side	arm 	the end	circumference
腕 (うで)	arm 	the end	circumference	very hard
終わり (おわり)	the end	circumference	very hard	to carry
周り (まわり)	circumference	very hard	to carry	cloud
一生懸命 (いっしょうけんめい)	very hard	to carry	cloud	funny
運ぶ (はこぶ)	to carry	cloud	funny	rule
雲 (くも)	cloud	funny	rule	mirror
おかしい (可笑しい)	funny	rule	mirror	neighbourhood
規則 (きそく)	rule	mirror	neighbourhood	sand
鏡 (かがみ)	mirror	neighbourhood	sand	finger
近所 (きんじょ)	neighbourhood	sand	finger	habit 
