正方形 (せいほうけい)	square	main gate	clear	impertinent
正門 (せいもん)	main gate	clear	impertinent	growth 
清い (きよい)	clear	impertinent	growth 	birth date
生意気 (なまいき)	impertinent	growth 	birth date	to serve 
生長 (せいちょう)	growth 	birth date	to serve 	Common Era
生年月日 (せいねんがっぴ)	birth date	to serve 	Common Era	to swear
盛る (もる)	to serve 	Common Era	to swear	pale
西暦 (せいれき)	Common Era	to swear	pale	regrettable
誓う (ちかう)	to swear	pale	regrettable	to pile up
青白い (あおじろい)	pale	regrettable	to pile up	equator
惜しい (おしい)	regrettable	to pile up	equator	connection
積む (つむ)	to pile up	equator	connection	to tell someone's fortune
赤道 (せきどう)	equator	connection	to tell someone's fortune	folding fan
接続 (せつぞく)	connection	to tell someone's fortune	folding fan	electric fan
占う (うらなう)	to tell someone's fortune	folding fan	electric fan	surface mail 
扇子 (せんす)	folding fan	electric fan	surface mail 	ancestor
扇風機 (せんぷうき)	electric fan	surface mail 	ancestor	outline
船便 (ふなびん)	surface mail 	ancestor	outline	character
祖先 (そせん)	ancestor	outline	character	to assemble
あらすじ (粗筋)	outline	character	to assemble	fast-talking
