belongings	財產;攜帶物品	心愛的	有益的;有利的	當心;提防
beloved	心愛的	有益的;有利的	當心;提防	吩咐;(拍賣中)喊價
beneficial	有益的;有利的	當心;提防	吩咐;(拍賣中)喊價	鐵匠
beware	當心;提防	吩咐;(拍賣中)喊價	鐵匠	炸開;吹奏;嚴厲批評
bid	吩咐;(拍賣中)喊價	鐵匠	炸開;吹奏;嚴厲批評	燃燒
blacksmith	鐵匠	炸開;吹奏;嚴厲批評	燃燒	漂白劑
blast	炸開;吹奏;嚴厲批評	燃燒	漂白劑	大風雪
blaze	燃燒	漂白劑	大風雪	白膚金髮碧眼的男人
bleach	漂白劑	大風雪	白膚金髮碧眼的男人	污損(名譽)
blizzard	大風雪	白膚金髮碧眼的男人	污損(名譽)	藍調
blond/blonde	白膚金髮碧眼的男人	污損(名譽)	藍調	使模糊不清
blot/stain	污損(名譽)	藍調	使模糊不清	肉體的
blues	藍調	使模糊不清	肉體的	保鏢;護衛隊
blur	使模糊不清	肉體的	保鏢;護衛隊	動彈不得
bodily	肉體的	保鏢;護衛隊	動彈不得	閂上
bodyguard	保鏢;護衛隊	動彈不得	閂上	獎金;額外津貼;分紅
bog	動彈不得	閂上	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺
bolt	閂上	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座
bonus	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦
boom	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦	胸
booth	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦	胸	植物學
boredom	無聊;厭倦	胸	植物學	大道
bosom	胸	植物學	大道	彈回
botany	植物學	大道	彈回	邊界
boulevard	大道	彈回	邊界	腸
bound	彈回	邊界	腸	拳擊手
boundary	邊界	腸	拳擊手	拳擊
bowel	腸	拳擊手	拳擊	(男姓的)童年
boxer	拳擊手	拳擊	(男姓的)童年	支撐;做好準備
boxing	拳擊	(男姓的)童年	支撐;做好準備	編成辮子;編成穗帶;編結
boyhood	(男姓的)童年	支撐;做好準備	編成辮子;編成穗帶;編結	寬度;幅度;寬宏
brace	支撐;做好準備	編成辮子;編成穗帶;編結	寬度;幅度;寬宏	向...行賄
braid	編成辮子;編成穗帶;編結	寬度;幅度;寬宏	向...行賄	公事包
breadth	寬度;幅度;寬宏	向...行賄	公事包	放寬，擴大
bribe	向...行賄	公事包	放寬，擴大	青銅
briefcase	公事包	放寬，擴大	青銅	女用胸針(或領針)
broaden	放寬，擴大	青銅	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪
bronze	青銅	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪	清湯
brooch	女用胸針(或領針)	孵蛋;籠罩;沈思;沮喪	清湯	兄弟關係
brood	孵蛋;籠罩;沈思;沮喪	清湯	兄弟關係	瀏覽
