聽天[由命]	形容任憑天意及命運而自然發展。
大腹[便便]	大肚子顯得肥胖而凸出的樣子。
一成[不變]	事情既定之後，從不改變。
行將[就木]	指年紀已大，壽命將盡。
自顧[不暇]	形容自身難保，沒有餘力再管別的事情。
血氣[方剛]	泛指年輕人精力正當旺盛，易於衝動。＆指年輕力壯。
自命[不凡]	形容自以為聰明、不平凡。
三教[九流]	指宗教、學術各種流派。＆指社會上各種行業或各色人物。
老氣[橫秋]	形容人老練而自負的神態。 ＆形容人擺架子，自命不凡。 ＆形容人沒有朝氣，暮氣沉沉的樣子。
移風[易俗]	改善不良的社會風氣和習俗。
有志[竟成]	立定志向去做，終必成功。
推波[助瀾]	比喻推動鼓勵。＆比喻從旁鼓動，使事態擴大。
捲土[重來]	比喻兵敗後，重組兵力，再次來過。＆比喻失敗後，重新整頓，再次來過。＆比喻恢復舊有的局面、情勢。
投其[所好]	迎合他人的愛好。
驚心[動魄]	形容人內心感受極深，震撼很大。
聲名[狼藉]	比喻名聲非常惡劣。貶義。
驚天[動地]	形容聲音很大。＆形容聲勢驚人。
沐猴[而冠]	比喻人虛有表象，卻不脫粗鄙的本質。＆比喻人性情急躁不安定。
作繭[自縛]	比喻人做某事，反而使自己陷入困境。
言人[人殊]	對同一件事各人所言不同。
