しかしながら (併し乍ら)	however	to inform	to give an order	to twist
報ずる (ほうずる)	to inform	to give an order	to twist	to lean against
あつらえる (誂える)	to give an order	to twist	to lean against	gap
ねじれる (捻じれる)	to twist	to lean against	gap	to advance on
寄りかかる (よりかかる)	to lean against	gap	to advance on	elegance
ずれ	gap	to advance on	elegance	signature
押し寄せる (おしよせる)	to advance on	elegance	signature	old friend
気品 (きひん)	elegance	signature	old friend	living flesh
記名 (きめい)	signature	old friend	living flesh	lengthy 
旧知 (きゅうち)	old friend	living flesh	lengthy 	keen
生身 (なまみ)	living flesh	lengthy 	keen	printing
大部 (たいぶ)	lengthy 	keen	printing	mental arithmetic
痛切 (つうせつ)	keen	printing	mental arithmetic	to be anxious or concerned about
刷り (すり)	printing	mental arithmetic	to be anxious or concerned about	projection
暗算 (あんざん)	mental arithmetic	to be anxious or concerned about	projection	detour
案じる (あんじる)	to be anxious or concerned about	projection	detour	trade in
映写 (えいしゃ)	projection	detour	trade in	secret intention
遠回り (とおまわり)	detour	trade in	secret intention	to change into
下取り (したどり)	trade in	secret intention	to change into	extracurricular
下心 (したごころ)	secret intention	to change into	extracurricular	deterioration
化する (かする)	to change into	extracurricular	deterioration	general statement
課外 (かがい)	extracurricular	deterioration	general statement	customary use
改悪 (かいあく)	deterioration	general statement	customary use	sweet flavour
概説 (がいせつ)	general statement	customary use	sweet flavour	eyeball
慣用 (かんよう)	customary use	sweet flavour	eyeball	many
甘口 (あまくち)	sweet flavour	eyeball	many	period
眼球 (がんきゅう)	eyeball	many	period	character
幾多 (いくた)	many	period	character	atmospheric current
期 (き)	period	character	atmospheric current	plant bulb
気風 (きふう)	character	atmospheric current	plant bulb	waiting on a table
気流 (きりゅう)	atmospheric current	plant bulb	waiting on a table	to amuse oneself
球根 (きゅうこん)	plant bulb	waiting on a table	to amuse oneself	joint
給仕 (きゅうじ)	waiting on a table	to amuse oneself	joint	doing 
興じる (きょうじる)	to amuse oneself	joint	doing 	to combine
継ぎ目 (つぎめ)	joint	doing 	to combine	multi-use
決行 (けっこう)	doing 	to combine	multi-use	show
結び付ける (むすびつける)	to combine	multi-use	show	original 
兼用 (けんよう)	multi-use	show	original 	to challenge
見世物 (みせもの)	show	original 	to challenge	to hum 
原典 (げんてん)	original 	to challenge	to hum 	state-sponsored
