インフレ	inflation	virus 	opening 	orange 
ウイルス	virus 	opening 	orange 	carpet
オープン	opening 	orange 	carpet	cameraman
オレンジ	orange 	carpet	cameraman	cheating 
カーペット	carpet	cameraman	cheating 	guide
カメラマン	cameraman	cheating 	guide	garage 
カンニング	cheating 	guide	garage 	quiz
ガイド	guide	garage 	quiz	graph
ガレージ	garage 	quiz	graph	corner 
クイズ	quiz	graph	corner 	commercial 
グラフ	graph	corner 	commercial 	communication
コーナー	corner 	commercial 	communication	contest
コマーシャル	commercial 	communication	contest	size
コミュニケーション	communication	contest	size	seat 
コンテスト	contest	size	seat 	system
サイズ	size	seat 	system	script
シート	seat 	system	script	shock 
システム	system	script	shock 	jeans
シナリオ	script	shock 	jeans	jazz
ショック	shock 	jeans	jazz	jump
ジーパン (Ｇパン)	jeans	jazz	jump	studio
ジャズ	jazz	jump	studio	strike 
ジャンプ	jump	studio	strike 	stress
スタジオ	studio	strike 	stress	speed
ストライキ	strike 	stress	speed	sex
ストレス	stress	speed	sex	taste 
スピード	speed	sex	taste 	sauce 
セックス	sex	taste 	sauce 	timing
センス	taste 	sauce 	timing	time 
ソース	sauce 	timing	time 	tire
タイミング	timing	time 	tire	star 
タイム	time 	tire	star 	tower
タイヤ	tire	star 	tower	dozen
タレント	star 	tower	dozen	down 
タワー	tower	dozen	down 	change
ダース (打)	dozen	down 	change	channel
ダウン	down 	change	channel	data
チェンジ	change	channel	data	dessert 
チャネル	channel	data	dessert 	design
データ	data	dessert 	design	trouble
