土木 (どぼく)	engineering works	regulation	patent	itemization 
統制 (とうせい)	regulation	patent	itemization 	outline of the sun 
特許 (とっきょ)	patent	itemization 	outline of the sun 	normally
内訳 (うちわけ)	itemization 	outline of the sun 	normally	back
日の丸 (ひのまる)	outline of the sun 	normally	back	arrangement 
日ごろ (ひごろ)	normally	back	arrangement 	excavation
背後 (はいご)	back	arrangement 	excavation	pessimism
配置 (はいち)	arrangement 	excavation	pessimism	fatigue
発掘 (はっくつ)	excavation	pessimism	fatigue	kind 
悲観 (ひかん)	pessimism	fatigue	kind 	sensitive
疲労 (ひろう)	fatigue	kind 	sensitive	cultural assets
品種 (ひんしゅ)	kind 	sensitive	cultural assets	ear 
敏感 (びんかん)	sensitive	cultural assets	ear 	close 
文化財 (ぶんかざい)	cultural assets	ear 	close 	organic
穂 (ほ)	ear 	close 	organic	guidance
密接 (みっせつ)	close 	organic	guidance	articles
有機 (ゆうき)	organic	guidance	articles	solid body
誘導 (ゆうどう)	guidance	articles	solid body	passenger 
用品 (ようひん)	articles	solid body	passenger 	area
立体 (りったい)	solid body	passenger 	area	cemetery
旅客 (りょかく)	passenger 	area	cemetery	text 
領域 (りょういき)	area	cemetery	text 	transport
墓地 (ぼち)	cemetery	text 	transport	control
本文 (ほんぶん)	text 	transport	control	one layer
運送 (うんそう)	transport	control	one layer	different opinion
取り締まり (とりしまり)	control	one layer	different opinion	lumping together
一重 (ひとえ)	one layer	different opinion	lumping together	garden 
異論 (いろん)	different opinion	lumping together	garden 	gold
一括 (いっかつ)	lumping together	garden 	gold	what
園 (その)	garden 	gold	what	household economy
黄金 (おうごん)	gold	what	household economy	depopulation
何と (なんと)	what	household economy	depopulation	channel 
家計 (かけい)	household economy	depopulation	channel 	academic background
過疎 (かそ)	depopulation	channel 	academic background	interference
海峡 (かいきょう)	channel 	academic background	interference	cheer
学歴 (がくれき)	academic background	interference	cheer	restoration
干渉 (かんしょう)	interference	cheer	restoration	fixed date
歓声 (かんせい)	cheer	restoration	fixed date	abstention 
還元 (かんげん)	restoration	fixed date	abstention 	standard
期日 (きじつ)	fixed date	abstention 	standard	mention 
