瞭如[指掌]	比喻對事情的狀況了解得非常清楚。
與虎[謀皮]	比喻所謀者與對方有利害衝突，事情必辦不成。
尋章[摘句]	讀書時著重搜求、摘取漂亮詞句，而少深入研究。＆寫作時，多套用前人的章法、語句，而不講究創意。
堅壁[清野]	一種作戰策略，使敵人即使在攻下據點之後，也無法長期占領。
應聲[蟲]	比喻胸無定見，隨聲附和的人。
曾參[殺人]	比喻流言可畏或稱誣枉的災禍。
倒屣[相迎]	比喻熱情迎接賓客。
堂堂[正正]	形容光明正大。
盡善[盡美]	形容事物的完善美滿已達極限。褒義。
首屈[一指]	表示第一或最優秀。褒義。
眾望[所歸]	深得眾人擁護、愛戴。
肅然[起敬]	因受感動而莊嚴地興起欽佩恭敬之心。
鴻鵠[之志]	比喻志向遠大。
坦腹[東床]	王羲之坦露腹部，臥於東床，被看中當人女婿的故事。＆指當女婿或指稱女婿。
鳥盡[弓藏]	比喻事成之後，有功之人卻遭到殺戮或疏遠的命運。
揭竿[而起]	比喻起義舉事。
逼上[梁山]	比喻被迫走上絕路，而做出自己不想做或不應做的事。
形影[不離]	形容關係密切，無時無處不在一起。
下里[巴人]	後泛指通俗的文學藝術。
不謀[而合]	事前未經商量，後來意見作為卻一致。
