socialism	社會主義	社會主義者	交際;社會主義化	社會學
socialist	社會主義者	交際;社會主義化	社會學	鈉
socialize	交際;社會主義化	社會學	鈉	團結一致
sociology	社會學	鈉	團結一致	孤獨;隱居
sodium	鈉	團結一致	孤獨;隱居	安慰;哄;減輕
solidarity	團結一致	孤獨;隱居	安慰;哄;減輕	老於世故的;精通的;精密的
solitude	孤獨;隱居	安慰;哄;減輕	老於世故的;精通的;精密的	統治權;主權;主權國家
soothe	安慰;哄;減輕	老於世故的;精通的;精密的	統治權;主權;主權國家	寬敞的;廣闊的
sophisticated	老於世故的;精通的;精密的	統治權;主權;主權國家	寬敞的;廣闊的	跨越;在...架橋
sovereignty	統治權;主權;主權國家	寬敞的;廣闊的	跨越;在...架橋	專攻;專門從事
spacious	寬敞的;廣闊的	跨越;在...架橋	專攻;專門從事	特產
span	跨越;在...架橋	專攻;專門從事	特產	具體指定;詳細指明
specialize	專攻;專門從事	特產	具體指定;詳細指明	壯觀的;壯麗的
specialty	特產	具體指定;詳細指明	壯觀的;壯麗的	光譜;頻譜
specify	具體指定;詳細指明	壯觀的;壯麗的	光譜;頻譜	推測;投機;推斷
spectacular	壯觀的;壯麗的	光譜;頻譜	推測;投機;推斷	球形
spectrum	光譜;頻譜	推測;投機;推斷	球形	用大釘釘牢;用尖物刺穿
speculate	推測;投機;推斷	球形	用大釘釘牢;用尖物刺穿	螺旋的
sphere	球形	用大釘釘牢;用尖物刺穿	螺旋的	螺旋形上升;發芽
spike	用大釘釘牢;用尖物刺穿	螺旋的	螺旋形上升;發芽	發言人
spiral	螺旋的	螺旋形上升;發芽	發言人	女發言人
spire	螺旋形上升;發芽	發言人	女發言人	發起;主辦;倡議;贊助
spokesperson/spokesman/	發言人	女發言人	發起;主辦;倡議;贊助	自發的;自然的
spokeswoman	女發言人	發起;主辦;倡議;贊助	自發的;自然的	配偶
sponsor	發起;主辦;倡議;贊助	自發的;自然的	配偶	伸開四肢躺(或爬);蔓生
spontaneous	自發的;自然的	配偶	伸開四肢躺(或爬);蔓生	班
spouse	配偶	伸開四肢躺(或爬);蔓生	班	壓扁(壓碎)
sprawl	伸開四肢躺(或爬);蔓生	班	壓扁(壓碎)	穩定
squad	班	壓扁(壓碎)	穩定	穩定
squash	壓扁(壓碎)	穩定	穩定	偷偷靠近;追蹤
stability	穩定	穩定	偷偷靠近;追蹤	口吃
stabilize	穩定	偷偷靠近;追蹤	口吃	用釘書針釘
stalk	偷偷靠近;追蹤	口吃	用釘書針釘	釘書機
stammer	口吃	用釘書針釘	釘書機	給(衣服等)上澱粉漿
staple	用釘書針釘	釘書機	給(衣服等)上澱粉漿	飢餓
stapler	釘書機	給(衣服等)上澱粉漿	飢餓	不動的
starch	給(衣服等)上澱粉漿	飢餓	不動的	文具
starvation	飢餓	不動的	文具	身高;高度
stationary	不動的	文具	身高;高度	汽船
stationery	文具	身高;高度	汽船	刺激;激勵;使興奮;促使
