一毛[不拔]	形容人非常吝嗇。貶義。
掩耳[盜鈴]	比喻妄想瞞騙他人，結果卻只是欺騙自己而已。貶義。
一丘[之貉]	比喻彼此同樣低劣，並無差異。貶義。
囫圇[吞棗]	比喻理解事物籠統含糊，或為學不求甚解。貶義。
班門[弄斧]	比喻在行家面前賣弄本事，不自量力。貶義。
朝三[暮四]	比喻心意不定、反覆無常。貶義。
水落[石出]	比喻事情經過澄清而後真相大白。
名落[孫山]	指應考不中。
胸有[成竹]	比喻處事有定見。
竭澤[而漁]	比喻盡其所有，不留餘地。
指鹿[為馬]	比喻人刻意混淆是非，顛倒黑白。
天衣[無縫]	比喻詩文渾然天成，沒有斧鑿痕跡。褒義。＆比喻事物或計畫周密完美，沒有一絲破綻或缺點。褒義。
舉一[反三]	形容人於學習中善於觸類旁通。褒義。
江郎[才盡]	比喻文人的才思枯竭，無法再創佳句。
青出[於藍]	比喻弟子勝過老師，或後輩優於前輩。褒義。
口若[懸河]	比喻能言善辯。
驚弓[之鳥]	比喻曾受打擊或驚嚇，心有餘悸，稍有動靜就害怕的人。
含沙[射影]	比喻間接地詆毀、陷害別人。貶義。
一敗[塗地]	形容做事失敗，到了無法收拾的地步。
草木[皆兵]	形容疑神疑鬼、驚恐不安。
