[鬼鬼]祟祟	形容行事不光明，偷偷摸摸的樣子。
[置若]罔聞	雖有耳聞，卻好像沒有聽到一樣不加理會。
[風馳]電掣	形容速度極快。
[捕風]捉影	比喻所做的事或所說的話毫無根據，憑空揣測。
[義不]容辭	道義上不容許推卻。
[異想]天開	不符實際、不合事理的奇特想法。
[隔靴]搔癢	比喻不切實際，未能掌握要點。
[雞鳴]狗盜	比喻有某種卑下技能的人，或指卑微的技能。＆形容卑劣低下的人或事。
[當仁]不讓	遇到應該做的事，主動承擔起來而不推辭。
[鳳毛]麟角	比喻稀罕珍貴的人、物。
[滿面]春風	形容滿臉笑容、心情喜悅。
[恍然]大悟	猛然醒悟過來。
[美輪]美奐	形容房屋規模高大、裝飾華美。
[穿鑿]附會	生拉硬扯，牽強解釋。
[咬文]嚼字	形容在字句上推敲琢磨。＆形容拘泥於文字詮釋而流於見解迂腐、淺陋。＆形容好稱引古書以賣弄才學的淵博。
[亡羊]補牢	比喻犯錯後及時更正，尚能補救。
[諱疾]忌醫	不承認有病，害怕去治療。 ＆比喻問題本小不予處理，終致無法收拾。 ＆比喻掩飾過失而不願聽人規勸。
[敷衍]塞責	形容做事不認真負責，只是表面應付。
[亦步]亦趨	形容事事追隨或仿傚別人。
[葉公]好龍	比喻所好似是而非，以致表裡不一，有名無實。
