생선	魚	生辰	生日	生活
생신	生辰	生日	生活	淋浴
생일	生日	生活	淋浴	抽屜
생활	生活	淋浴	抽屜	文件
샤워	淋浴	抽屜	文件	服務
서너	三四個	消極的	大約	任何
서다	站直	匆忙	摻	站起來
서두르다	匆忙	摻	站起來	休息
서랍	抽屜	文件	服務	西洋
서로	彼此	偷偷溜出去	沒有關係	相當
서류	文件	服務	西洋	首爾
서른	三十	幾萬元	幾百隻	幾十個
서비스	服務	西洋	首爾	書店
서양	西洋	首爾	書店	西邊
서울	首爾	書店	西邊	收禮物
서점	書店	西邊	收禮物	前輩
서쪽	西邊	收禮物	前輩	老師
섞다	摻	站起來	休息	喘息
선물	收禮物	前輩	老師	選手
선배	前輩	老師	選手	選擇
선생님	老師	選手	選擇	電扇
선선하다	涼爽	感到失望	硬	寶貴
선수	選手	選擇	電扇	洗盤子
선택	選擇	電扇	洗盤子	新年
선풍기	電扇	洗盤子	新年	雪濃湯
설거지	洗盤子	新年	雪濃湯	說明
설날	新年	雪濃湯	說明	糖
설렁탕	雪濃湯	說明	糖	島
설명	說明	糖	島	姓
설탕	糖	島	姓	性格
섬	島	姓	性格	成功
섭섭하다	感到失望	硬	寶貴	簡單
성	姓	性格	成功	取得成績
성격	性格	成功	取得成績	姓名
성공	成功	取得成績	姓名	世界
성적	取得成績	姓名	世界	拜年
성함	姓名	世界	拜年	性別
세	-歲	二十	新衣	三四個
세계	世界	拜年	宇宙	洗臉
세다	硬	吆喝	傳聞	受騙
