researcher	研究員;調查者	像,類似	保留(意見);預訂的房間(或席座)	放棄,辭去
resemble	像,類似	保留(意見);預訂的房間(或席座)	放棄,辭去	辭職;放棄;辭呈
reservation	保留(意見);預訂的房間(或席座)	放棄,辭去	辭職;放棄;辭呈	抵抗,反抗
resign	放棄,辭去	辭職;放棄;辭呈	抵抗,反抗	決心;決定;解決
resignation	辭職;放棄;辭呈	抵抗,反抗	決心;決定;解決	解決,解答;使分解
resistance	抵抗,反抗	決心;決定;解決	解決,解答;使分解	值得尊敬的;體面的
resolution	決心;決定;解決	解決,解答;使分解	值得尊敬的;體面的	恭敬的;尊敬人的
resolve	解決,解答;使分解	值得尊敬的;體面的	恭敬的;尊敬人的	復原
respectable	值得尊敬的;體面的	恭敬的;尊敬人的	復原	限制
respectful	恭敬的;尊敬人的	復原	限制	保留,保持
restore	復原	限制	保留,保持	退休;退役
restriction	限制	保留,保持	退休;退役	撤退,退卻
retain	保留,保持	退休;退役	撤退,退卻	團聚;重聚
retire	退休;退役	撤退,退卻	團聚;重聚	替...報仇
retreat	撤退,退卻	團聚;重聚	替...報仇	校訂;更改
reunion	團聚;重聚	替...報仇	校訂;更改	修訂;校訂;修正
revenge	替...報仇	校訂;更改	修訂;校訂;修正	革命;循環
revise	校訂;更改	修訂;校訂;修正	革命;循環	革命的
revision	修訂;校訂;修正	革命;循環	革命的	酬謝;獎勵
revolution	革命;循環	革命的	酬謝;獎勵	押韻
revolutionary	革命的	酬謝;獎勵	押韻	節奏;韻律
reward	酬謝;獎勵	押韻	節奏;韻律	戀愛,風流韻事;愛情小說
rhyme	押韻	節奏;韻律	戀愛,風流韻事;愛情小說	粗糙地
rhythm	節奏;韻律	戀愛,風流韻事;愛情小說	粗糙地	給...定路線;路線
romance	戀愛,風流韻事;愛情小說	粗糙地	給...定路線;路線	毀滅
roughly	粗糙地	給...定路線;路線	毀滅	農村的
route	給...定路線;路線	毀滅	農村的	犧牲;獻出
ruin	毀滅	農村的	犧牲;獻出	給...薪水
rural	農村的	犧牲;獻出	給...薪水	店員,售貨員
sacrifice	犧牲;獻出	給...薪水	店員,售貨員	女店員;售貨員
salary	給...薪水	店員,售貨員	女店員;售貨員	衛星
salesperson/salesman/	店員,售貨員	女店員;售貨員	衛星	滿足
saleswoman	女店員;售貨員	衛星	滿足	幾乎不,幾乎沒有
satellite	衛星	滿足	幾乎不,幾乎沒有	風景
satisfaction	滿足	幾乎不,幾乎沒有	風景	罵,責罵
scarcely	幾乎不,幾乎沒有	風景	罵,責罵	抓
scenery	風景	罵,責罵	抓	螺絲起子
scold	罵,責罵	抓	螺絲起子	雕刻
scratch	抓	螺絲起子	雕刻	海鷗
screwdriver	螺絲起子	雕刻	海鷗	年資較深的;四年級生的
