因陋[就簡]	比喻做事馬虎，不力求完善美備。＆比喻因循或遷就簡陋的現實環境去做事。
見獵[心喜]	比喻舊習難忘，看見有人在做自己所愛好的事情，便心情愉悅而躍躍欲試。＆見到喜愛事物而心中欣喜。
以訛[傳訛]	指將不正確的訊息繼續傳播下去。
一落[千丈]	指聲音由高驟然下降到很低。＆比喻成績、地位、景況、情緒或聲望等急遽下降。
信口[開河]	比喻隨口亂說。
欣欣[向榮]	形容草木繁盛的樣子。＆比喻事物蓬勃發展、繁榮興盛。
巧取[豪奪]	形容不擇手段的取得權利、財物。
虎視[眈眈]	比喻心懷不軌，伺機掠奪。
怨天[尤人]	比喻面對不如意時，一味地歸咎客觀環境，而不能自我檢討。
水泄[不通]	形容包圍得極為嚴密。＆形容擁擠不堪。
一氣[呵成]	比喻文章的氣勢流暢，首尾貫通。 ＆比喻事情進行得順暢緊湊而不間斷。
觸類[旁通]	謂據已知事物的認識與理解，進而通達對其他類似事物的認知。
殺雞[取卵]	比喻貪圖眼前的好處而斷絕了長遠的利益。
面面[相覷]	形容驚懼、詫異而不知所措的樣子。
一針[見血]	比喻言論簡潔透澈，深中肯綮。
老生[常談]	比喻時常聽到，了無新意的老話。
初出[茅廬]	比喻初入社會，缺乏歷練。
萬籟[俱寂]	萬物無聲，一片寂靜。
當頭[棒喝]	比喻使人立即醒悟的警示。
完璧[歸趙]	比喻物歸原主。
