一拍[即合]	一打拍子就合乎曲子的節奏。比喻同類型的人或事物極易湊合在一起
一板[一眼]	比喻人言行謹守法規，有條有理。
一波[三折]	書法中的一捺，筆鋒需作三次轉折，使之曲折多姿。＆形容聲音、文章的跌宕起伏多變。＆比喻事情進行曲折多變。
一知[半解]	形容人所知不全，了解不深。
一股[腦兒]	全部、通通。如：「門鈴一響，他便把雜物XXXX往衣櫥裡塞。」
一哄[而散]	大夥兒吵吵鬧鬧一下子後各自散去。《初刻拍案驚奇》卷一：「看的人見沒得買了，XXXX。」
一面[之詞]	單方面或只是部分的理由、說詞。
一面[之雅]	雅，交情。一面之雅指僅見過一次面的交情。比喻無深厚交情。如：「我和他只有XXXX，並沒有很深的了解。」也作「一面之交」。
一飛[沖天]	形容上升速度極快，比喻平時沒沒無聞，但才華一經施展，一下子便有驚人的表現
一席[之地]	一張坐席的地方。比喻極小的地方或具有某種程度的地位或位置。
一息[尚存]	還有一點氣息存在，表示已到生命的最後階段或還活在世上。
一時[之選]	當世傑出的人才
一氣[呵成]	比喻文章的氣勢流暢，首尾貫通。 ＆比喻事情進行得順暢緊湊而不間斷。
一病[不起]	形容病情嚴重，或因而致死。《初刻拍案驚奇》卷一二：「那老媽又是高年，船上早晚感冒些風露，XXXX。」
一笑[置之]	形容不當成一回事。
一脈[相承]	由一個血統或一個派別承傳沿襲下來。
一針[見血]	比喻言論簡潔透澈，深中肯綮。
一馬[當先]	趕在眾人之前，領先前進。
一乾[二淨]	完盡、什麼都不剩。如：「把菜吃了XXXX。」
一掃[而空]	全部清除乾淨。
