宝 (たから)	treasure	abundance	pole	curtain
豊富 (ほうふ)	abundance	pole	curtain	satisfaction
棒 (ぼう)	pole	curtain	satisfaction	license
幕 (まく)	curtain	satisfaction	license	superiority
満足 (まんぞく)	satisfaction	license	superiority	prediction
免許 (めんきょ)	license	superiority	prediction	easy
優秀 (ゆうしゅう)	superiority	prediction	easy	next 
予測 (よそく)	prediction	easy	next 	ideal
容易 (ようい)	easy	next 	ideal	to be separated
来 (らい)	next 	ideal	to be separated	land
理想 (りそう)	ideal	to be separated	land	studying abroad
離れる (はなれる)	to be separated	land	studying abroad	ring
陸 (りく)	land	studying abroad	ring	calmness
留学 (りゅうがく)	studying abroad	ring	calmness	thanks
輪 (わ)	ring	calmness	thanks	dispute
冷静 (れいせい)	calmness	thanks	dispute	make-up
礼 (れい)	thanks	dispute	make-up	wound
論争 (ろんそう)	dispute	make-up	wound	another person
化粧 (けしょう)	make-up	wound	another person	end 
傷 (きず)	wound	another person	end 	opponent
