gorge 	峽谷	燦爛的;華麗的;極好的	大猩猩	基督教教義;福音書
gorgeous	燦爛的;華麗的;極好的	大猩猩	基督教教義;福音書	同意,准予
gorilla	大猩猩	基督教教義;福音書	同意,准予	地心吸力
gospel	基督教教義;福音書	同意,准予	地心吸力	吃草;放牧;擦傷
grant	同意,准予	地心吸力	吃草;放牧;擦傷	塗油脂於;賄賂
gravity	地心吸力	吃草;放牧;擦傷	塗油脂於;賄賂	貪心
graze	吃草;放牧;擦傷	塗油脂於;賄賂	貪心	無情的;嚴厲的;恐怖的
grease	塗油脂於;賄賂	貪心	無情的;嚴厲的;恐怖的	握牢
greed	貪心	無情的;嚴厲的;恐怖的	握牢	呻吟;抱怨
grim	無情的;嚴厲的;恐怖的	握牢	呻吟;抱怨	總的;粗略的;令人噁心的
grip	握牢	呻吟;抱怨	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮
groan	呻吟;抱怨	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲
gross	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲	指南;指導方針
growl	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲	指南;指導方針	狼吞虎嚥
grumble	發牢騷;咕噥;發轟隆聲	指南;指導方針	狼吞虎嚥	吹強風
guideline	指南;指導方針	狼吞虎嚥	吹強風	取出內臟;損毀(房屋等)的內部
gulp	狼吞虎嚥	吹強風	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者
gust	吹強風	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者	向...歡呼;招呼;下冰雹
gut	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者	向...歡呼;招呼;下冰雹	髮型
gypsy	吉普賽人;流浪者	向...歡呼;招呼;下冰雹	髮型	妨礙,使不利
hail 	向...歡呼;招呼;下冰雹	髮型	妨礙,使不利	手工藝;手工藝品
hairstyle/hairdo	髮型	妨礙,使不利	手工藝;手工藝品	能吃苦耐勞的
handicap	妨礙,使不利	手工藝;手工藝品	能吃苦耐勞的	上挽具;套(馬);駕馭
handicraft	手工藝;手工藝品	能吃苦耐勞的	上挽具;套(馬);駕馭	拖;拉;拖運
hardy	能吃苦耐勞的	上挽具;套(馬);駕馭	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去
harness	上挽具;套(馬);駕馭	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去	衷心的
haul	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去	衷心的	天堂般的
haunt	(鬼魂等)常出沒於;縈繞;常去	衷心的	天堂般的	樹籬
hearty	衷心的	天堂般的	樹籬	留心;注意
heavenly	天堂般的	樹籬	留心;注意	加高;增高;增加
hedge	樹籬	留心;注意	加高;增高;增加	繼承人;嗣子
heed	留心;注意	加高;增高;增加	繼承人;嗣子	因此
heighten	加高;增高;增加	繼承人;嗣子	因此	宣佈;通報;預示...的來臨
heir	繼承人;嗣子	因此	宣佈;通報;預示...的來臨	草本植物;藥草
hence	因此	宣佈;通報;預示...的來臨	草本植物;藥草	隱士
herald	宣佈;通報;預示...的來臨	草本植物;藥草	隱士	英雄的;英勇的
herb	草本植物;藥草	隱士	英雄的;英勇的	異性戀的
hermit	隱士	英雄的;英勇的	異性戀的	高傳真的音響裝置
heroic	英雄的;英勇的	異性戀的	高傳真的音響裝置	劫持
heterosexual	異性戀的	高傳真的音響裝置	劫持	發出嘶嘶聲;發出噓聲
