各有[千秋]	各有長處和特色或各有其長期存在的價值。
化險[為夷]	轉化危險為平安。
不著[邊際]	比喻言論空泛或想法不切實際。
不可[思議]	比喻出乎常情，令人無法想像，難以理解。
風雨[飄搖]	受風雨的吹打而搖晃。＆比喻時局動蕩不安，極不穩定。
大智[若愚]	表示具有極高智慧的人，往往表面上看起來似乎愚笨。
眾叛[親離]	形容不得人心，處境孤立。
三從[四德]	指舊時社會婦女必須具備的德性。
以逸[待勞]	說明用兵者養精蓄銳，以安逸等待疲憊的敵人，而予以痛擊則可勝。
人心[不古]	感嘆現在的人，失去古人的忠厚淳樸。貶義。
十室[九空]	形容天災人禍造成人民窮困散亡的淒涼景象。
九霄[雲外]	比喻天上極其高遠之處。
立竿[見影]	比喻迅速收到成效。
一盤[散沙]	比喻人心渙散，缺乏凝合的力量，不能團結起來。
因材[施教]	依據受教者不同的資材，而給予不同的教導。
錦囊[妙計]	比喻預先規劃以應付意外、解決危急的有效方法。
一目[了然]	看一眼就完全清楚明白。
好事[多磨]	形容男女佳期不順。＆形容事情進行不順，常遇挫折。
目光[如炬]	形容目光有神。＆比喻見事透澈，識見遠大。褒義。
生不[逢辰]	比喻遇不到好時機，命運坎坷。
