[烏煙]瘴氣	形容人事或氣氛黑暗混亂。＆形容環境汙染不潔。
[參差]不齊	雜亂不整齊。
[噬臍]莫及	比喻後悔已遲[賠了夫人又折兵]	比喻不但沒有占到便宜，反而吃大虧。。
[天誅]地滅	形容所作所為天地所不容。
[天羅]地網	比喻防範布置得極為嚴密而無法逃脫。
[龍蟠]虎踞	形容地勢雄偉險要。
[切膚]之痛	比喻極為深刻難忘的感受與經驗。
[手忙]腳亂	形容做事慌亂，失了條理。
[鬼使]神差	比喻被莫名力量驅使而不由自主。
[聳人]聽聞	使人聽後大為驚駭。
[一五]一十	形容計數的仔細。＆比喻把事情從頭至尾詳細說出，無所遺漏。
[氣宇]軒昂	形容神采飛揚，氣度不凡。褒義。
[隱惡]揚善	隱藏他人的惡行，宣揚他人的善行。褒義。
[軒然]大波	比喻大的糾紛或風波。
[粗枝]大葉	簡略概括。＆比喻疏略，做事不細密。＆比喻大體的輪廓。
[出口]成章	比喻才思敏捷，談吐風雅。褒義。
[雞皮]鶴髮	形容老人的形貌。
[人去]樓空	表示舊地重遊時人事已非，或對故人的思念。＆形容畏罪潛逃，不知去向。
[三頭]六臂	比喻人本領大，力強可畏。
[出水]芙蓉	指初出水面初開的荷花，光潔清新。＆比喻詩文清新可愛。褒義。＆比喻女子嬌柔豔麗。褒義。
