内 (うち)	inside	beautiful	reply	dance
美しい (うつくしい)	beautiful	reply	dance	daytime
返事 (へんじ)	reply	dance	daytime	two-storied building
踊り (おどり)	dance	daytime	two-storied building	middle
昼間 (ひるま)	daytime	two-storied building	middle	good
二階建て (にかいだて)	two-storied building	middle	good	conference room
真ん中 (まんなか)	middle	good	conference room	corner
ため (為)	good	conference room	corner	laboratory 
会議室 (かいぎしつ)	conference room	corner	laboratory 	small 
隅 (すみ)	corner	laboratory 	small 	slope
研究室 (けんきゅうしつ)	laboratory 	small 	slope	case
細かい (こまかい)	small 	slope	case	mathematics
坂 (さか)	slope	case	mathematics	grandfather 
場合 (ばあい)	case	mathematics	grandfather 	clothing
数学 (すうがく)	mathematics	grandfather 	clothing	injection
祖父 (そふ)	grandfather 	clothing	injection	polite
着物 (きもの)	clothing	injection	polite	rural area
注射 (ちゅうしゃ)	injection	polite	rural area	to steal
丁寧 (ていねい)	polite	rural area	to steal	twice
田舎 (いなか)	rural area	to steal	twice	ryokan
